criterio,inicio,fin,tipo,descripcion
inai,2022-12-20,2023-02-20,top,Constitución
inai,2022-12-20,2023-02-20,top,Derechos
inai,2022-12-20,2023-02-20,top,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado
inai,2022-12-20,2023-02-20,top,Posesión
inai,2022-12-20,2023-02-20,top,Comité de la organización
inai,2022-12-20,2023-02-20,top,Banco de México
inai,2022-12-20,2023-02-20,top,Petróleos Mexicanos
inai,2022-12-20,2023-02-20,top,Secretario
inai,2022-12-20,2023-02-20,top,Comisión Federal de Competencia Económica
inai,2022-12-20,2023-02-20,top,Juicio de amparo
inai,2022-10-20,2022-12-20,aumento,Diario Oficial de la Federación
inai,2022-10-20,2022-12-20,aumento,Deber
inai,2022-10-20,2022-12-20,aumento,Banco de México
inai,2022-10-20,2022-12-20,aumento,Ciudadano
inai,2022-10-20,2022-12-20,aumento,Andrés Manuel López Obrador
inai,2022-10-20,2022-12-20,aumento,Comisión Nacional de los Derechos Humanos
inai,2022-10-20,2022-12-20,aumento,Organización
inai,2022-10-20,2022-12-20,aumento,Denuncia
inai,2022-10-20,2022-12-20,aumento,Comisionado
inai,2022-10-20,2022-12-20,aumento,Archivo de documentos
inai,2022-10-20,2022-12-20,aumento,Erased
inai,2022-10-20,2022-12-20,aumento,Gobierno
inai,2022-10-20,2022-12-20,top,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales"
inai,2022-10-20,2022-12-20,top,Instituto Nacional de Transparencia
inai,2022-10-20,2022-12-20,top,Dato
inai,2022-10-20,2022-12-20,top,Derecho
inai,2022-10-20,2022-12-20,top,Información
inai,2022-10-20,2022-12-20,top,Información personal
inai,2022-10-20,2022-12-20,top,Transparencia
inai,2022-10-20,2022-12-20,top,Protección de datos personales
inai,2022-10-20,2022-12-20,top,Erased
inai,2022-10-20,2022-12-20,top,Denuncia
inai,2022-10-20,2022-12-20,top,Acceso a la información
inai,2022-10-20,2022-12-20,top,Plataforma informática
inai,2022-10-20,2022-12-20,top,Privacidad
inai,2022-10-20,2022-12-20,top,Comisión Nacional de los Derechos Humanos
inai,2022-10-20,2022-12-20,top,Gobierno
inai,2022-10-20,2022-12-20,top,Solicitud de información
inai,2022-10-20,2022-12-20,top,Ley Federal de Transparencia y Acceso a la Información Pública Gubernamental
inai,2022-10-20,2022-12-20,top,Sujeto
inai,2022-10-20,2022-12-20,top,Organización
inai,2022-10-20,2022-12-20,top,Comisionado
inai,2022-10-20,2022-12-20,top,Archivo de documentos
inai,2022-10-20,2022-12-20,top,Diario Oficial de la Federación
inai,2022-10-20,2022-12-20,top,Deber
inai,2022-10-20,2022-12-20,top,Banco de México
inai,2022-10-20,2022-12-20,top,Ciudadano
inai,2022-08-20,2022-10-20,aumento,Solicitud de información
inai,2022-08-20,2022-10-20,aumento,Secretario
inai,2022-08-20,2022-10-20,aumento,Sistema digital
inai,2022-08-20,2022-10-20,aumento,Institución
inai,2022-08-20,2022-10-20,aumento,Discriminación
inai,2022-08-20,2022-10-20,aumento,Banco de México
inai,2022-08-20,2022-10-20,aumento,Barra de direcciones
inai,2022-08-20,2022-10-20,aumento,Procedimiento administrativo
inai,2022-08-20,2022-10-20,aumento,Usuario
inai,2022-08-20,2022-10-20,aumento,Interpretación
inai,2022-08-20,2022-10-20,aumento,Instituto Nacional de Estadística y Geografía
inai,2022-08-20,2022-10-20,top,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales"
inai,2022-08-20,2022-10-20,top,Instituto Nacional de Transparencia
inai,2022-08-20,2022-10-20,top,Dato
inai,2022-08-20,2022-10-20,top,Información
inai,2022-08-20,2022-10-20,top,Transparencia
inai,2022-08-20,2022-10-20,top,Información personal
inai,2022-08-20,2022-10-20,top,Acceso a la información
inai,2022-08-20,2022-10-20,top,Protección de datos personales
inai,2022-08-20,2022-10-20,top,Funcionario
inai,2022-08-20,2022-10-20,top,Plataforma informática
inai,2022-08-20,2022-10-20,top,Erased
inai,2022-08-20,2022-10-20,top,Privacidad
inai,2022-08-20,2022-10-20,top,Instituto Nacional de Estadística y Geografía
inai,2022-08-20,2022-10-20,top,Interpretación
inai,2022-08-20,2022-10-20,top,Denuncia
inai,2022-08-20,2022-10-20,top,Solicitud de información
inai,2022-08-20,2022-10-20,top,Secretario
inai,2022-08-20,2022-10-20,top,Sistema digital
inai,2022-08-20,2022-10-20,top,Institución
inai,2022-08-20,2022-10-20,top,Discriminación
inai,2022-08-20,2022-10-20,top,Banco de México
inai,2022-08-20,2022-10-20,top,Barra de direcciones
inai,2022-08-20,2022-10-20,top,Procedimiento administrativo
inai,2022-08-20,2022-10-20,top,Usuario
inai,2022-06-20,2022-08-20,aumento,Instituto Nacional de Antropología
inai,2022-06-20,2022-08-20,aumento,Corte
inai,2022-06-20,2022-08-20,aumento,Organismo
inai,2022-06-20,2022-08-20,aumento,"Instituto de Transparencia, Información Pública y Protección de Datos Personales del Estado de Jalisco"
inai,2022-06-20,2022-08-20,aumento,Sueldo
inai,2022-06-20,2022-08-20,aumento,Federación
inai,2022-06-20,2022-08-20,aumento,Gobierno
inai,2022-06-20,2022-08-20,aumento,Instituto
inai,2022-06-20,2022-08-20,aumento,Acuerdo
inai,2022-06-20,2022-08-20,aumento,Denuncia
inai,2022-06-20,2022-08-20,aumento,Archivo de documentos
inai,2022-06-20,2022-08-20,aumento,Concurso
inai,2022-06-20,2022-08-20,aumento,Multa
inai,2022-06-20,2022-08-20,aumento,Archivo
inai,2022-06-20,2022-08-20,top,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales"
inai,2022-06-20,2022-08-20,top,Instituto Nacional de Transparencia
inai,2022-06-20,2022-08-20,top,Derecho
inai,2022-06-20,2022-08-20,top,Transparencia
inai,2022-06-20,2022-08-20,top,Dato
inai,2022-06-20,2022-08-20,top,Información
inai,2022-06-20,2022-08-20,top,Información personal
inai,2022-06-20,2022-08-20,top,Protección de datos personales
inai,2022-06-20,2022-08-20,top,Plataforma informática
inai,2022-06-20,2022-08-20,top,Acceso a la información
inai,2022-06-20,2022-08-20,top,Gobierno
inai,2022-06-20,2022-08-20,top,Privacidad
inai,2022-06-20,2022-08-20,top,Denuncia
inai,2022-06-20,2022-08-20,top,Erased
inai,2022-06-20,2022-08-20,top,Directorio
inai,2022-06-20,2022-08-20,top,Instituto Nacional de Antropología
inai,2022-06-20,2022-08-20,top,Multa
inai,2022-06-20,2022-08-20,top,Archivo de documentos
inai,2022-06-20,2022-08-20,top,Archivo
inai,2022-06-20,2022-08-20,top,Suprema Corte de Justicia de La Nación
inai,2022-06-20,2022-08-20,top,Federación
inai,2022-06-20,2022-08-20,top,Funcionario
inai,2022-06-20,2022-08-20,top,Derechos humanos
inai,2022-06-20,2022-08-20,top,Instituto
inai,2022-06-20,2022-08-20,top,Corte
inai,2022-04-20,2022-06-20,aumento,Archivo de documentos
inai,2022-04-20,2022-06-20,aumento,Interpretación
inai,2022-04-20,2022-06-20,aumento,Confidencialidad
inai,2022-04-20,2022-06-20,aumento,Posesión
inai,2022-04-20,2022-06-20,aumento,Democracia
inai,2022-04-20,2022-06-20,aumento,Autoridad
inai,2022-04-20,2022-06-20,aumento,Secretaría de la Función Pública
inai,2022-04-20,2022-06-20,aumento,Procuraduría Federal del Consumidor
inai,2022-04-20,2022-06-20,aumento,Mecanismo
inai,2022-04-20,2022-06-20,aumento,Declaración Patrimonial
inai,2022-04-20,2022-06-20,aumento,Derecho de acceso a la información
inai,2022-04-20,2022-06-20,aumento,Ley Federal de Protección de Datos Personales
inai,2022-04-20,2022-06-20,aumento,Poder Judicial de la Federación
inai,2022-04-20,2022-06-20,aumento,Banco de México
inai,2022-04-20,2022-06-20,aumento,Organigrama
inai,2022-04-20,2022-06-20,aumento,Municipalidad
inai,2022-04-20,2022-06-20,aumento,INEA
inai,2022-04-20,2022-06-20,aumento,Suprema Corte de Justicia de La Nación
inai,2022-04-20,2022-06-20,aumento,Directorio
inai,2022-04-20,2022-06-20,aumento,Acceso a la información
inai,2022-04-20,2022-06-20,top,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales"
inai,2022-04-20,2022-06-20,top,Instituto Nacional de Transparencia
inai,2022-04-20,2022-06-20,top,Derecho
inai,2022-04-20,2022-06-20,top,Información
inai,2022-04-20,2022-06-20,top,Transparencia
inai,2022-04-20,2022-06-20,top,Dato
inai,2022-04-20,2022-06-20,top,Información personal
inai,2022-04-20,2022-06-20,top,Acceso a la información
inai,2022-04-20,2022-06-20,top,Protección de datos personales
inai,2022-04-20,2022-06-20,top,Constitución
inai,2022-04-20,2022-06-20,top,Funcionario
inai,2022-04-20,2022-06-20,top,Plataforma informática
inai,2022-04-20,2022-06-20,top,Erased
inai,2022-04-20,2022-06-20,top,Directorio
inai,2022-04-20,2022-06-20,top,Solicitud de información
inai,2022-04-20,2022-06-20,top,Suprema Corte de Justicia de La Nación
inai,2022-04-20,2022-06-20,top,Derechos
inai,2022-04-20,2022-06-20,top,Portal
inai,2022-04-20,2022-06-20,top,Archivo de documentos
inai,2022-04-20,2022-06-20,top,Interpretación
inai,2022-04-20,2022-06-20,top,Confidencialidad
inai,2022-04-20,2022-06-20,top,Posesión
inai,2022-04-20,2022-06-20,top,Democracia
inai,2022-04-20,2022-06-20,top,Autoridad
inai,2022-04-20,2022-06-20,top,Secretaría de la Función Pública
inai,2022-02-20,2022-04-20,aumento,Funcionario
inai,2022-02-20,2022-04-20,aumento,Institución
inai,2022-02-20,2022-04-20,aumento,Otaku
inai,2022-02-20,2022-04-20,aumento,Posesión
inai,2022-02-20,2022-04-20,aumento,Corrupción política
inai,2022-02-20,2022-04-20,aumento,Presupuesto
inai,2022-02-20,2022-04-20,aumento,Informe
inai,2022-02-20,2022-04-20,aumento,Comité de la organización
inai,2022-02-20,2022-04-20,aumento,Democracia
inai,2022-02-20,2022-04-20,aumento,Gobierno abierto
inai,2022-02-20,2022-04-20,aumento,Instituto Nacional de Aprendizaje
inai,2022-02-20,2022-04-20,aumento,Consulta pública
inai,2022-02-20,2022-04-20,aumento,Ley Federal de Transparencia y Acceso a la Información Pública Gubernamental
inai,2022-02-20,2022-04-20,aumento,Instituto Federal de Telecomunicaciones
inai,2022-02-20,2022-04-20,aumento,Protección de datos personales
inai,2022-02-20,2022-04-20,aumento,Artículo
inai,2022-02-20,2022-04-20,aumento,Comisionado
inai,2022-02-20,2022-04-20,aumento,Instituto
inai,2022-02-20,2022-04-20,aumento,Constitución
inai,2022-02-20,2022-04-20,aumento,Privacidad
inai,2022-02-20,2022-04-20,aumento,Información personal
inai,2022-02-20,2022-04-20,aumento,Dato
inai,2022-02-20,2022-04-20,top,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales"
inai,2022-02-20,2022-04-20,top,Instituto Nacional de Transparencia
inai,2022-02-20,2022-04-20,top,Transparencia
inai,2022-02-20,2022-04-20,top,Dato
inai,2022-02-20,2022-04-20,top,Información
inai,2022-02-20,2022-04-20,top,Información personal
inai,2022-02-20,2022-04-20,top,Protección de datos personales
inai,2022-02-20,2022-04-20,top,Plataforma informática
inai,2022-02-20,2022-04-20,top,Erased
inai,2022-02-20,2022-04-20,top,Acceso a la información
inai,2022-02-20,2022-04-20,top,Privacidad
inai,2022-02-20,2022-04-20,top,Comisionado
inai,2022-02-20,2022-04-20,top,Constitución
inai,2022-02-20,2022-04-20,top,Instituto
inai,2022-02-20,2022-04-20,top,Funcionario
inai,2022-02-20,2022-04-20,top,Institución
inai,2022-02-20,2022-04-20,top,Artículo
inai,2022-02-20,2022-04-20,top,Solicitud de información
inai,2022-02-20,2022-04-20,top,Otaku
inai,2022-02-20,2022-04-20,top,Posesión
inai,2022-02-20,2022-04-20,top,Corrupción política
inai,2022-02-20,2022-04-20,top,Presupuesto
inai,2022-02-20,2022-04-20,top,Informe
inai,2022-02-20,2022-04-20,top,Comité de la organización
inai,2022-02-20,2022-04-20,top,Democracia
inai,2021-12-20,2022-02-20,aumento,Carlos Loret de Mola
inai,2021-12-20,2022-02-20,aumento,"Ley 19/2013, de 9 de diciembre, de transparencia, acceso a la información pública y buen gobierno"
inai,2021-12-20,2022-02-20,aumento,Interpretación
inai,2021-12-20,2022-02-20,aumento,Administración pública
inai,2021-12-20,2022-02-20,aumento,Instituto Nacional de Estadística y Geografía
inai,2021-12-20,2022-02-20,aumento,Directorio
inai,2021-12-20,2022-02-20,aumento,Federación
inai,2021-12-20,2022-02-20,aumento,Municipalidad
inai,2021-12-20,2022-02-20,aumento,Ley Federal de Transparencia y Acceso a la Información Pública Gubernamental
inai,2021-12-20,2022-02-20,aumento,Petición
inai,2021-12-20,2022-02-20,aumento,Instituto Nacional de Antropología e Historia
inai,2021-12-20,2022-02-20,aumento,Instituto
inai,2021-12-20,2022-02-20,aumento,Comisionado
inai,2021-12-20,2022-02-20,aumento,Andrés Manuel López Obrador
inai,2021-12-20,2022-02-20,aumento,Suprema Corte de Justicia de La Nación
inai,2021-12-20,2022-02-20,aumento,Presidente
inai,2021-12-20,2022-02-20,aumento,Privacidad
inai,2021-12-20,2022-02-20,aumento,Materia
inai,2021-12-20,2022-02-20,aumento,Institución
inai,2021-12-20,2022-02-20,aumento,Transparencia
inai,2021-12-20,2022-02-20,top,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales"
inai,2021-12-20,2022-02-20,top,Instituto Nacional de Transparencia
inai,2021-12-20,2022-02-20,top,Transparencia
inai,2021-12-20,2022-02-20,top,Derecho
inai,2021-12-20,2022-02-20,top,Información
inai,2021-12-20,2022-02-20,top,Andrés Manuel López Obrador
inai,2021-12-20,2022-02-20,top,Dato
inai,2021-12-20,2022-02-20,top,Plataforma informática
inai,2021-12-20,2022-02-20,top,Erased
inai,2021-12-20,2022-02-20,top,Carlos Loret de Mola
inai,2021-12-20,2022-02-20,top,Privacidad
inai,2021-12-20,2022-02-20,top,Información personal
inai,2021-12-20,2022-02-20,top,Protección de datos personales
inai,2021-12-20,2022-02-20,top,Materia
inai,2021-12-20,2022-02-20,top,Presidente
inai,2021-12-20,2022-02-20,top,Suprema Corte de Justicia de La Nación
inai,2021-12-20,2022-02-20,top,Acceso a la información
inai,2021-12-20,2022-02-20,top,Funcionario
inai,2021-12-20,2022-02-20,top,Institución
inai,2021-12-20,2022-02-20,top,"Ley 19/2013, de 9 de diciembre, de transparencia, acceso a la información pública y buen gobierno"
inai,2021-12-20,2022-02-20,top,Interpretación
inai,2021-12-20,2022-02-20,top,Administración pública
inai,2021-12-20,2022-02-20,top,Instituto Nacional de Estadística y Geografía
inai,2021-12-20,2022-02-20,top,Directorio
inai,2021-12-20,2022-02-20,top,Federación
inai,2021-10-20,2021-12-20,aumento,Transparencia
inai,2021-10-20,2021-12-20,aumento,Sanción
inai,2021-10-20,2021-12-20,aumento,Cámara de Diputados
inai,2021-10-20,2021-12-20,aumento,Decreto
inai,2021-10-20,2021-12-20,aumento,Acceso
inai,2021-10-20,2021-12-20,aumento,Interpretación
inai,2021-10-20,2021-12-20,aumento,Comisión Nacional de los Derechos Humanos
inai,2021-10-20,2021-12-20,aumento,Documento
inai,2021-10-20,2021-12-20,aumento,Controversia
inai,2021-10-20,2021-12-20,aumento,Presidente
inai,2021-10-20,2021-12-20,aumento,Andrés Manuel López Obrador
inai,2021-10-20,2021-12-20,top,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales"
inai,2021-10-20,2021-12-20,top,Instituto Nacional de Transparencia
inai,2021-10-20,2021-12-20,top,Transparencia
inai,2021-10-20,2021-12-20,top,Dato
inai,2021-10-20,2021-12-20,top,Información
inai,2021-10-20,2021-12-20,top,Información personal
inai,2021-10-20,2021-12-20,top,Acceso a la información
inai,2021-10-20,2021-12-20,top,Plataforma informática
inai,2021-10-20,2021-12-20,top,Erased
inai,2021-10-20,2021-12-20,top,Comisión Nacional de los Derechos Humanos
inai,2021-10-20,2021-12-20,top,Documento
inai,2021-10-20,2021-12-20,top,Protección de datos personales
inai,2021-10-20,2021-12-20,top,Suprema Corte de Justicia de La Nación
inai,2021-10-20,2021-12-20,top,Andrés Manuel López Obrador
inai,2021-10-20,2021-12-20,top,Funcionario
inai,2021-10-20,2021-12-20,top,Denuncia
inai,2021-10-20,2021-12-20,top,Seguridad
inai,2021-10-20,2021-12-20,top,Transparencia
inai,2021-10-20,2021-12-20,top,Controversia
inai,2021-10-20,2021-12-20,top,Sanción
inai,2021-10-20,2021-12-20,top,Cámara de Diputados
inai,2021-10-20,2021-12-20,top,Decreto
inai,2021-10-20,2021-12-20,top,Presidente
inai,2021-10-20,2021-12-20,top,Acceso
inai,2021-10-20,2021-12-20,top,Interpretación
inai,2021-08-20,2021-10-20,aumento,CONDUSEF
inai,2021-08-20,2021-10-20,aumento,Solicitud de información
inai,2021-08-20,2021-10-20,aumento,Denuncia
inai,2021-08-20,2021-10-20,aumento,Directorio
inai,2021-08-20,2021-10-20,aumento,Órgano
inai,2021-08-20,2021-10-20,aumento,Comité de la organización
inai,2021-08-20,2021-10-20,aumento,Andrés Manuel López Obrador
inai,2021-08-20,2021-10-20,aumento,Acuerdo
inai,2021-08-20,2021-10-20,aumento,Privacidad
inai,2021-08-20,2021-10-20,aumento,Diario Oficial de la Federación
inai,2021-08-20,2021-10-20,aumento,Organismo
inai,2021-08-20,2021-10-20,aumento,Kami-sama no Inai Nichiyōbi
inai,2021-08-20,2021-10-20,aumento,Posesión
inai,2021-08-20,2021-10-20,top,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales"
inai,2021-08-20,2021-10-20,top,Instituto Nacional de Transparencia
inai,2021-08-20,2021-10-20,top,Información
inai,2021-08-20,2021-10-20,top,Derecho
inai,2021-08-20,2021-10-20,top,Transparencia
inai,2021-08-20,2021-10-20,top,Dato
inai,2021-08-20,2021-10-20,top,Plataforma informática
inai,2021-08-20,2021-10-20,top,Información personal
inai,2021-08-20,2021-10-20,top,Erased
inai,2021-08-20,2021-10-20,top,Acceso a la información
inai,2021-08-20,2021-10-20,top,CONDUSEF
inai,2021-08-20,2021-10-20,top,Protección de datos personales
inai,2021-08-20,2021-10-20,top,Solicitud de información
inai,2021-08-20,2021-10-20,top,Regulación
inai,2021-08-20,2021-10-20,top,Posesión
inai,2021-08-20,2021-10-20,top,Organismo
inai,2021-08-20,2021-10-20,top,Funcionario
inai,2021-08-20,2021-10-20,top,Denuncia
inai,2021-08-20,2021-10-20,top,Directorio
inai,2021-08-20,2021-10-20,top,Kami-sama no Inai Nichiyōbi
inai,2021-08-20,2021-10-20,top,Órgano
inai,2021-08-20,2021-10-20,top,Comité de la organización
inai,2021-08-20,2021-10-20,top,Andrés Manuel López Obrador
inai,2021-08-20,2021-10-20,top,Acuerdo
inai,2021-08-20,2021-10-20,top,Privacidad
inai,2021-06-20,2021-08-20,aumento,Federalismo
inai,2021-06-20,2021-08-20,aumento,"Ley 19/2013, de 9 de diciembre, de transparencia, acceso a la información pública y buen gobierno"
inai,2021-06-20,2021-08-20,aumento,Publicación
inai,2021-06-20,2021-08-20,aumento,Kami-sama no Inai Nichiyōbi
inai,2021-06-20,2021-08-20,aumento,Archivo de documentos
inai,2021-06-20,2021-08-20,aumento,Directorio
inai,2021-06-20,2021-08-20,aumento,Ley Federal de Transparencia y Acceso a la Información Pública Gubernamental
inai,2021-06-20,2021-08-20,aumento,Consulta pública
inai,2021-06-20,2021-08-20,aumento,Acuerdo
inai,2021-06-20,2021-08-20,aumento,Plataforma informática
inai,2021-06-20,2021-08-20,aumento,Protección de datos personales
inai,2021-06-20,2021-08-20,aumento,Organización
inai,2021-06-20,2021-08-20,aumento,Organismo
inai,2021-06-20,2021-08-20,aumento,Información personal
inai,2021-06-20,2021-08-20,aumento,Erased
inai,2021-06-20,2021-08-20,aumento,Transparencia
inai,2021-06-20,2021-08-20,top,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales"
inai,2021-06-20,2021-08-20,top,Instituto Nacional de Transparencia
inai,2021-06-20,2021-08-20,top,Derecho
inai,2021-06-20,2021-08-20,top,Transparencia
inai,2021-06-20,2021-08-20,top,Información personal
inai,2021-06-20,2021-08-20,top,Erased
inai,2021-06-20,2021-08-20,top,Dato
inai,2021-06-20,2021-08-20,top,Protección de datos personales
inai,2021-06-20,2021-08-20,top,Información
inai,2021-06-20,2021-08-20,top,Acceso a la información
inai,2021-06-20,2021-08-20,top,Plataforma informática
inai,2021-06-20,2021-08-20,top,Funcionario
inai,2021-06-20,2021-08-20,top,Organización
inai,2021-06-20,2021-08-20,top,Organismo
inai,2021-06-20,2021-08-20,top,Privacidad
inai,2021-06-20,2021-08-20,top,Federalismo
inai,2021-06-20,2021-08-20,top,"Ley 19/2013, de 9 de diciembre, de transparencia, acceso a la información pública y buen gobierno"
inai,2021-06-20,2021-08-20,top,Gobierno
inai,2021-06-20,2021-08-20,top,Publicación
inai,2021-06-20,2021-08-20,top,Kami-sama no Inai Nichiyōbi
inai,2021-06-20,2021-08-20,top,Archivo de documentos
inai,2021-06-20,2021-08-20,top,Directorio
inai,2021-06-20,2021-08-20,top,Acuerdo
inai,2021-06-20,2021-08-20,top,Ley Federal de Transparencia y Acceso a la Información Pública Gubernamental
inai,2021-06-20,2021-08-20,top,Consulta pública
inai,2021-04-20,2021-06-20,aumento,Autoridad
inai,2021-04-20,2021-06-20,aumento,Ciudadano
inai,2021-04-20,2021-06-20,aumento,Sigla
inai,2021-04-20,2021-06-20,aumento,Principio
inai,2021-04-20,2021-06-20,aumento,Corrupción política
inai,2021-04-20,2021-06-20,aumento,Legitimidad
inai,2021-04-20,2021-06-20,aumento,Visión
inai,2021-04-20,2021-06-20,aumento,Artículo
inai,2021-04-20,2021-06-20,aumento,Derechos humanos
inai,2021-04-20,2021-06-20,aumento,Instituto Nacional de Estadística y Geografía
inai,2021-04-20,2021-06-20,aumento,Poder legislativo
inai,2021-04-20,2021-06-20,aumento,Soberanía
inai,2021-04-20,2021-06-20,aumento,Biometría
inai,2021-04-20,2021-06-20,aumento,Registro de Título y Expedición de Cédula Profesional
inai,2021-04-20,2021-06-20,aumento,Secretario
inai,2021-04-20,2021-06-20,aumento,Instituto Federal de Telecomunicaciones
inai,2021-04-20,2021-06-20,aumento,Banco de México
inai,2021-04-20,2021-06-20,aumento,Función
inai,2021-04-20,2021-06-20,aumento,Institución
inai,2021-04-20,2021-06-20,aumento,Democracia
inai,2021-04-20,2021-06-20,aumento,Constitución
inai,2021-04-20,2021-06-20,aumento,Derechos
inai,2021-04-20,2021-06-20,aumento,Andrés Manuel López Obrador
inai,2021-04-20,2021-06-20,aumento,Comisión Nacional de los Derechos Humanos
inai,2021-04-20,2021-06-20,aumento,Rendición de cuentas
inai,2021-04-20,2021-06-20,top,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales"
inai,2021-04-20,2021-06-20,top,Instituto Nacional de Transparencia
inai,2021-04-20,2021-06-20,top,Derecho
inai,2021-04-20,2021-06-20,top,Información
inai,2021-04-20,2021-06-20,top,Dato
inai,2021-04-20,2021-06-20,top,Acceso a la información
inai,2021-04-20,2021-06-20,top,Transparencia
inai,2021-04-20,2021-06-20,top,Función
inai,2021-04-20,2021-06-20,top,Información personal
inai,2021-04-20,2021-06-20,top,Rendición de cuentas
inai,2021-04-20,2021-06-20,top,Constitución
